Abrangência;Localidade;Localidade;Casos Confirmados - Acumulado;Casos Confirmados - Novos;Casos Confirmados - Incremento;Casos Confirmados - Incidência*;Casos Confirmados - Em acompanhamento;Casos Confirmados - Recuperados;Óbitos Confirmados - Acumulado;Óbitos Confirmados - Novos;Óbitos Confirmados - Incremento;Óbitos Confirmados - Mortalidade*;Óbitos Confirmados - Letalidade
País;76;Brasil;18.386.894;64.134;0,35;8.749,53;1.292.106;16.582.053;512.735;1.593;0,31;243,99;2,79
Região;1;Norte;1.706.208;2.774;0,16;9.257,28;0;0;43.223;52;0,12;234,51;2,53
Unidade da Federação;11;Rondônia;246.612;266;0,11;13.876,24;0;0;6.112;7;0,11;343,91;2,48
Município;110001;Alta Floresta D'Oeste;3.884;5;0,13;16.927,44;0;0;65;1;1,56;283,29;1,67
Município;110037;Alto Alegre dos Parecis;1.444;1;0,07;10.905,52;0;0;44;0;0,00;332,30;3,05
Município;110040;Alto Paraíso;1.803;3;0,17;8.414,22;0;0;48;0;0,00;224,01;2,66
Município;110034;Alvorada D'Oeste;1.093;0;0,00;7.584,48;0;0;29;0;0,00;201,24;2,65
Município;110002;Ariquemes;21.502;27;0,13;19.934,55;0;0;461;-1;-0,22;427,39;2,14
Município;110045;Buritis;4.654;8;0,17;11.736,52;0;0;74;0;0,00;186,61;1,59
Município;110003;Cabixi;816;2;0,25;15.361,45;0;0;20;0;0,00;376,51;2,45
Município;110060;Cacaulândia;814;1;0,12;13.065,81;0;0;10;0;0,00;160,51;1,23
Município;110004;Cacoal;13.452;10;0,07;15.759,32;0;0;277;1;0,36;324,51;2,06
Município;110070;Campo Novo de Rondônia;1.161;0;0,00;8.211,33;0;0;22;0;0,00;155,60;1,89
Município;110080;Candeias do Jamari;3.811;27;0,71;14.277,15;0;0;76;0;0,00;284,72;1,99
Município;110090;Castanheiras;262;0;0,00;8.584,53;0;0;6;0;0,00;196,59;2,29
Município;110005;Cerejeiras;2.417;10;0,42;14.807,33;0;0;60;0;0,00;367,58;2,48
Município;110092;Chupinguaia;1.378;0;0,00;12.323,38;0;0;19;0;0,00;169,92;1,38
Município;110006;Colorado do Oeste;2.171;0;0,00;13.669,56;0;0;38;0;0,00;239,26;1,75
Município;110007;Corumbiara;771;1;0,13;10.431,61;0;0;18;0;0,00;243,54;2,33
Município;110008;Costa Marques;1.648;5;0,30;8.990,24;0;0;31;0;0,00;169,11;1,88
Município;110094;Cujubim;1.887;0;0,00;7.483,64;0;0;38;0;0,00;150,70;2,01
Município;110009;Espigão D'Oeste;3.235;7;0,22;9.992,59;0;0;60;0;0,00;185,33;1,85
Município;110100;Governador Jorge Teixeira;608;0;0,00;7.827,99;0;0;21;0;0,00;270,37;3,45
Município;110010;Guajará-Mirim;5.374;6;0,11;11.638,58;0;0;223;4;1,83;482,96;4,15
Município;110110;Itapuã do Oeste;1.365;1;0,07;13.052,21;0;0;18;0;0,00;172,12;1,32
Município;110011;Jaru;7.353;6;0,08;14.201,83;0;0;162;0;0,00;312,89;2,20
Município;110012;Ji-Paraná;18.082;0;0,00;14.020,42;0;0;538;0;0,00;417,15;2,98
Município;110013;Machadinho D'Oeste;6.534;10;0,15;16.338,68;0;0;105;0;0,00;262,56;1,61
Município;110120;Ministro Andreazza;498;0;0,00;5.155,28;0;0;14;0;0,00;144,93;2,81
Município;110130;Mirante da Serra;1.005;1;0,10;9.180,60;0;0;12;0;0,00;109,62;1,19
Município;110140;Monte Negro;1.687;0;0,00;10.642,19;0;0;30;0;0,00;189,25;1,78
Município;110014;Nova Brasilândia D'Oeste;1.841;10;0,55;8.991,89;0;0;27;0;0,00;131,87;1,47
Município;110033;Nova Mamoré;3.458;0;0,00;11.306,94;0;0;76;0;0,00;248,50;2,20
Município;110143;Nova União;829;0;0,00;11.893,83;0;0;15;0;0,00;215,21;1,81
Município;110050;Novo Horizonte do Oeste;624;4;0,65;7.308,50;0;0;22;0;0,00;257,67;3,53
Município;110015;Ouro Preto do Oeste;4.482;0;0,00;12.437,91;0;0;134;0;0,00;371,86;2,99
Município;110145;Parecis;386;0;0,00;6.354,96;0;0;11;0;0,00;181,10;2,85
Município;110018;Pimenta Bueno;6.086;20;0,33;16.601,20;0;0;104;0;0,00;283,69;1,71
Município;110146;Pimenteiras do Oeste;428;0;0,00;19.732,60;0;0;15;0;0,00;691,56;3,50
Município;110020;Porto Velho;82.565;55;0,07;15.591,72;0;0;2.430;1;0,04;458,89;2,94
Município;110025;Presidente Médici;3.413;7;0,21;17.976,40;0;0;79;0;0,00;416,10;2,31
Município;110147;Primavera de Rondônia;173;0;0,00;6.057,42;0;0;7;0;0,00;245,10;4,05
Município;110026;Rio Crespo;581;0;0,00;15.435,71;0;0;12;0;0,00;318,81;2,07
Município;110028;Rolim de Moura;6.329;0;0,00;11.495,15;0;0;162;0;0,00;294,24;2,56
Município;110029;Santa Luzia D'Oeste;924;2;0,22;14.226,33;0;0;17;1;6,25;261,74;1,84
Município;110148;São Felipe D'Oeste;481;5;1,05;9.300,08;0;0;9;0;0,00;174,01;1,87
Município;110149;São Francisco do Guaporé;2.154;0;0,00;10.628,64;0;0;44;0;0,00;217,11;2,04
Município;110032;São Miguel do Guaporé;2.321;0;0,00;10.089,11;0;0;47;0;0,00;204,30;2,02
Município;110150;Seringueiras;1.353;1;0,07;11.411,94;0;0;18;0;0,00;151,82;1,33
Município;110155;Teixeirópolis;521;0;0,00;12.093,78;0;0;8;0;0,00;185,70;1,54
Município;110160;Theobroma;775;0;0,00;7.420,53;0;0;25;0;0,00;239,37;3,23
Município;110170;Urupá;1.193;3;0,25;10.403,77;0;0;32;0;0,00;279,06;2,68
Município;110175;Vale do Anari;1.145;0;0,00;10.219,56;0;0;21;0;0,00;187,43;1,83
Município;110180;Vale do Paraíso;766;0;0,00;11.223,44;0;0;25;0;0,00;366,30;3,26
Município;110030;Vilhena;13.075;28;0,21;13.094,12;0;0;253;0;0,00;253,37;1,93
Unidade da Federação;12;Acre;85.383;110;0,13;9.681,33;0;0;1.736;0;0,00;196,84;2,03
Município;120001;Acrelândia;1.651;2;0,12;10.821,97;0;0;36;0;0,00;235,97;2,18
Município;120005;Assis Brasil;1.760;12;0,69;23.729,27;0;0;24;0;0,00;323,58;1,36
Município;120010;Brasiléia;2.888;3;0,10;10.990,18;0;0;38;0;0,00;144,61;1,32
Município;120013;Bujari;1.136;0;0,00;11.065,65;0;0;17;0;0,00;165,60;1,50
Município;120017;Capixaba;654;0;0,00;5.574,02;0;0;17;0;0,00;144,89;2,60
Município;120020;Cruzeiro do Sul;7.630;18;0,24;8.633,57;0;0;155;0;0,00;175,39;2,03
Município;120025;Epitaciolândia;1.463;1;0,07;7.946,34;0;0;32;0;0,00;173,81;2,19
Município;120030;Feijó;3.199;-1;-0,03;9.197,81;0;0;59;0;0,00;169,64;1,84
Município;120032;Jordão;708;0;0,00;8.512,68;0;0;2;0;0,00;24,05;0,28
Município;120033;Mâncio Lima;2.621;27;1,04;13.811,46;0;0;29;0;0,00;152,82;1,11
Município;120034;Manoel Urbano;903;1;0,11;9.546,46;0;0;14;0;0,00;148,01;1,55
Município;120035;Marechal Thaumaturgo;1.259;4;0,32;6.673,03;0;0;11;0;0,00;58,30;0,87
Município;120038;Plácido de Castro;1.740;2;0,12;8.805,22;0;0;18;0;0,00;91,09;1,03
Município;120080;Porto Acre;1.513;3;0,20;8.176,61;0;0;36;0;0,00;194,55;2,38
Município;120039;Porto Walter;543;0;0,00;4.531,80;0;0;4;0;0,00;33,38;0,74
Município;120040;Rio Branco;37.529;21;0,06;9.213,66;0;0;1.055;0;0,00;259,01;2,81
Município;120042;Rodrigues Alves;845;2;0,24;4.463,81;0;0;12;0;0,00;63,39;1,42
Município;120043;Santa Rosa do Purus;978;4;0,41;14.954,13;0;0;7;0;0,00;107,03;0,72
Município;120045;Senador Guiomard;1.174;1;0,09;5.099,03;0;0;42;0;0,00;182,42;3,58
Município;120050;Sena Madureira;5.786;6;0,10;12.619,96;0;0;64;0;0,00;139,59;1,11
